County,State,"Age-Adjusted Incidence Rate - cases per 100,000",Average Annual Count,Recent Trend
Lee County, Mississippi,494.2,472,falling
Anderson County, Tennessee,446.9,471,falling
Cheshire County, New Hampshire,460.9,470,stable
Mason County, Washington,494.1,468,falling
Georgetown County, South Carolina,473.5,467,stable
Harrison County, West Virginia,502.1,467,stable
Angelina County, Texas,457.2,465,falling
Columbia County, New York,495.6,464,stable
Lewis County, Washington,427.4,464,falling
Wilson County, North Carolina,449.9,464,falling
Wood County, Wisconsin,448.2,463,stable
Salem County, New Jersey,554.1,462,stable
Cumberland County, Tennessee,447.3,462,falling
Talladega County, Alabama,452,462,stable
Rockingham County, Virginia,445.7,461,stable
Williamson County, Illinois,522.7,461,stable
Bowie County, Texas,412,461,falling
San Juan County, New Mexico,341.7,461,falling
Jefferson County, Ohio,480.7,460,stable
Cullman County, Alabama,433.3,460,stable
Sullivan County, New York,460.5,460,falling
White County, Arkansas,505.9,459,stable
Elmore County, Alabama,498.9,459,stable
Madison County, Kentucky,505.4,458,falling
Coos County, Oregon,443.1,457,falling
Madison County, New York,499.5,456,stable
Grant County, Indiana,509.9,456,stable
Carbon County, Pennsylvania,487,456,stable
Morgan County, Indiana,532.9,456,stable
Clarke County, Georgia,454.1,455,stable
Rockdale County, Georgia,466.7,455,falling
Pulaski County, Kentucky,536,453,stable
Victoria County, Texas,439.6,453,falling
Herkimer County, New York,523.2,453,stable
Rutherford County, North Carolina,472.5,453,stable
Whitfield County, Georgia,414,451,falling
Jefferson County, Wisconsin,437.3,450,stable
Columbia County, Florida,497.6,447,rising
Cascade County, Montana,427.9,447,falling
Jefferson County, Arkansas,511.3,447,stable
Orange County, Texas,442.4,446,falling
Tompkins County, New York,428.6,446,falling
Midland County, Michigan,413 #  ,445,rising
Suffolk City, Virginia,452.9,445,stable
Walker County, Alabama,513.1,445,stable
Columbia County, Pennsylvania,511.3,444,stable
Pike County, Kentucky,562.7,444,stable
Washington County, Ohio,511.4,440,stable
Chelan County, Washington,450.5,438,stable
McCracken County, Kentucky,494,437,falling
Creek County, Oklahoma,484.9,437,stable
Floyd County, Indiana,483.3,435,stable
Bartholomew County, Indiana,457.2,433,stable
Sutter County, California,402.2,433,stable
Putnam County, Tennessee,484.1,431,stable
Van Buren County, Michigan,449.2 #  ,431,falling
Lake County, California,450,430,falling
Shiawassee County, Michigan,480.8 #  ,429,stable
Worcester County, Maryland,494.9,428,stable
Monongalia County, West Virginia,443.7,428,stable
Lewis and Clark County, Montana,502,428,stable
Navajo County, Arizona,337.1,428,falling
Polk County, Oregon,439.6,426,falling
Hancock County, Indiana,490.5,424,stable
Lawrence County, Ohio,531.6,423,stable
Hancock County, Maine,489.9,422,falling
Muskogee County, Oklahoma,497.7,422,stable
Adams County, Illinois,467.2,421,stable
Klamath County, Oregon,462.7,421,stable
Laurens County, South Carolina,486.9,421,stable
Gallatin County, Montana,433.9,420,stable
Matanuska-Susitna Borough, Alaska,444.5,418,falling
Hancock County, Ohio,450.8,418,stable
Cape Girardeau County, Missouri,454,418,stable
St. Francois County, Missouri,522,418,stable
Mercer County, West Virginia,481.6,417,stable
Rutland County, Vermont,476.3,417,falling
Bradford County, Pennsylvania,479.7,417,stable
Belmont County, Ohio,424.2,416,falling
Washington County, New York,494.8,414,stable
Wilkes County, North Carolina,420.2,414,falling
Kosciusko County, Indiana,446.5,412,stable
Loudon County, Tennessee,500.6,412,stable
Frederick County, Virginia,401.1,412,falling
Oxford County, Maine,478.3,410,stable
Tehama County, California,483.9,410,falling
Wayne County, Indiana,457.8,406,stable
Marion County, Ohio,488.2,405,stable
Spalding County, Georgia,509.3,404,stable
Darlington County, South Carolina,455.3,403,stable
Livingston County, New York,497.6,402,stable
Windsor County, Vermont,476.6,400,stable
Bastrop County, Texas,432.9,399,falling
Otsego County, New York,481.6,399,stable
Grant County, Washington,419.8,399,stable
Fulton County, New York,543.1,398,stable
Cole County, Missouri,441.8,398,falling
Franklin County, Massachusetts,384.8,397,falling
Christian County, Missouri,418.3,396,falling
Genesee County, New York,508.9,396,stable
Lauderdale County, Mississippi,417.1,395,falling
Laurel County, Kentucky,546.3,393,stable
Iberia Parish, Louisiana,482.8,392,stable
Barrow County, Georgia,518.8,390,stable
Hood County, Texas,438.4,389,stable
Chippewa County, Wisconsin,483.1,389,stable
Hawkins County, Tennessee,493.2,388,stable
Forrest County, Mississippi,503.8,385,stable
Stanly County, North Carolina,482.5,385,stable
Story County, Iowa,465,385,stable
Hamblen County, Tennessee,468,384,stable
Twin Falls County, Idaho,413.7,384,falling
Tuolumne County, California,428.9,383,falling
Lonoke County, Arkansas,509.4,383,stable
Natrona County, Wyoming,419.9,382,falling
Franklin County, North Carolina,478.9,382,stable
Lenoir County, North Carolina,485.9,381,falling
Jones County, Mississippi,458,381,stable
Sandusky County, Ohio,485.4,381,stable
Greenwood County, South Carolina,430.8,381,falling
Carroll County, New Hampshire,462.9,379,falling
Knox County, Ohio,491.6,378,stable
Umatilla County, Oregon,434.8,377,stable
Venango County, Pennsylvania,484.2,377,stable
Marion County, West Virginia,501.3,376,stable
Polk County, Texas,580,376,stable
Pottawatomie County, Oklahoma,441.1,375,falling
Whiteside County, Illinois,472.6,375,stable
Clinton County, Michigan,399.1 #  ,374,stable
Troup County, Georgia,482.7,373,stable
Valencia County, New Mexico,405.4,373,falling
Sauk County, Wisconsin,455.1,373,stable
Jackson County, Georgia,519.5,372,stable
Benton County, Oregon,379.2,371,falling
Rockwall County, Texas,407.1,369,falling
Pike County, Pennsylvania,445.6,368,falling
Liberty County, Texas,427.9,368,falling
Granville County, North Carolina,503.9,368,falling
Baxter County, Arkansas,472.9,367,falling
Wagoner County, Oklahoma,402.7,366,stable
Kershaw County, South Carolina,443.7,365,falling
Lynchburg City, Virginia,453,365,stable
Sampson County, North Carolina,461.7,365,stable
Robertson County, Tennessee,462.8,364,falling
Greene County, New York,517.5,361,stable
Halifax County, North Carolina,495.4,360,stable
Washington County, Vermont,458.3,359,falling
Wayne County, Pennsylvania,439.3,357,stable
Pearl River County, Mississippi,500.9,356,stable
Jefferson County, Tennessee,492.8,356,stable
Oldham County, Kentucky,525.5,356,falling
Lee County, North Carolina,496,355,stable
Tuscola County, Michigan,474.7 #  ,355,stable
Columbia County, Wisconsin,483.3,355,stable
Marquette County, Michigan,411.5 #  ,354,falling
Pittsylvania County, Virginia,379.7,353,falling
Cerro Gordo County, Iowa,562.9,352,rising
Chenango County, New York,515.4,351,stable
Roane County, Tennessee,432.5,351,falling
Walton County, Florida,398.6,350,falling
Fauquier County, Virginia,414.5,349,falling
Acadia Parish, Louisiana,495.5,349,stable
Kauai County, Hawaii,367,349,falling
Boyd County, Kentucky,533.2,348,falling
Crawford County, Arkansas,460.5,347,rising
Cache County, Utah,389.9,347,stable
Lincoln County, Oregon,422.8,347,falling
Putnam County, West Virginia,478.5,347,falling
Bedford County, Pennsylvania,474.6,346,stable
Carson City, Nevada,461.3,346,stable
Harrison County, Texas,434.1,346,falling
Pender County, North Carolina,459.4,345,stable
Columbus County, North Carolina,451.2,345,stable
DeKalb County, Alabama,395.5,344,falling
Franklin County, Virginia,412.5,343,stable
Nye County, Nevada,426.9,341,stable
Van Zandt County, Texas,454.4,339,stable
St. Croix County, Wisconsin,366,339,stable
Knox County, Illinois,470.2,338,stable
Dallas County, Iowa,440.7,338,falling
Warrick County, Indiana,445.3,338,stable
Huron County, Ohio,476.8,337,stable
Somerset County, Maine,463.6,336,falling
Vermilion Parish, Louisiana,487.6,335,stable
Kerr County, Texas,394.1,334,falling
Delaware County, New York,475.7,334,stable
Henry County, Virginia,416.3,333,stable
Macoupin County, Illinois,518.2,333,rising
Lowndes County, Mississippi,480.7,332,stable
Montgomery County, New York,507.5,332,stable
Portage County, Wisconsin,406.1,330,falling
Montcalm County, Michigan,414.8 #  ,330,stable
Pickaway County, Ohio,490.5,329,stable
Tioga County, New York,488.6,329,stable
Montgomery County, Virginia,369,329,stable
Yuba County, California,451.5,327,falling
Dearborn County, Indiana,515.2,326,stable
Otero County, New Mexico,415.4,325,stable
Carter County, Tennessee,402.2,325,stable
Colbert County, Alabama,437.8,325,stable
Edgecombe County, North Carolina,453.8,325,stable
Pope County, Arkansas,455.1,325,stable
Stokes County, North Carolina,489.3,325,rising
Henry County, Illinois,472.5,324,stable
Walker County, Georgia,364.4,324,falling
Ashland County, Ohio,472.5,324,stable
Lyon County, Nevada,434.2,323,falling
York County, Virginia,408,323,falling
Cherokee County, South Carolina,470.9,323,stable
Douglas County, Nevada,396.4,323,stable
Franklin County, Kentucky,513.1,323,falling
Camden County, Missouri,410.8,322,falling
Bannock County, Idaho,371.9,322,falling
Coffee County, Tennessee,472,321,stable
McMinn County, Tennessee,441.3,320,stable
Calaveras County, California,414,320,stable
Tipton County, Tennessee,470.2,319,stable
Ogle County, Illinois,477.1,319,stable
Ionia County, Michigan,446.8 #  ,319,stable
Oneida County, Wisconsin,537.3,319,stable
St. Mary Parish, Louisiana,513.2,319,stable
Hall County, Nebraska,464.8,318,falling
Waupaca County, Wisconsin,430.4,318,falling
Marinette County, Wisconsin,491,317,stable
Wood County, Texas,433.3,317,stable
Blount County, Alabama,432,317,stable
Campbell County, Virginia,419.3,317,falling
Fairbanks North Star, Alaska,386.2,317,falling
Walla Walla County, Washington,424.6,317,falling
Wise County, Texas,431.4,317,stable
Dickson County, Tennessee,510.2,316,stable
St. Martin Parish, Louisiana,515.8,316,stable
Queen Annes County, Maryland,492.6,315,stable
Duplin County, North Carolina,423.2,315,stable
Levy County, Florida,504.5,315,stable
Jackson County, Alabama,438.8,314,stable
Ottawa County, Ohio,484,314,falling
Fayette County, West Virginia,503.9,314,stable
Allegany County, New York,514.6,313,stable
McDowell County, North Carolina,500,313,stable
Garfield County, Oklahoma,429.6,312,falling
Bristol County, Rhode Island,459,311,stable
Mifflin County, Pennsylvania,470.7,311,stable
Clinton County, Iowa,481.4,310,stable
Monroe County, Tennessee,485.6,310,stable
Beaufort County, North Carolina,428.7,310,falling
Seneca County, Ohio,436.8,308,stable
Walker County, Texas,428.9,308,falling
Autauga County, Alabama,490.1,308,stable
Lamar County, Texas,470.7,307,stable
Taney County, Missouri,410.3,307,stable
Jefferson County, Washington,481.1,306,falling
Boone County, Indiana,454.6,306,stable
Henry County, Indiana,471.7,306,stable
San Patricio County, Texas,414.3,305,falling
Suwannee County, Florida,492.3,304,stable
Darke County, Ohio,437.2,304,falling
Jefferson County, West Virginia,459.7,304,falling
St. Joseph County, Michigan,399.1 #  ,303,falling
Kenai Peninsula Borough, Alaska,426.9,303,falling
Franklin County, Illinois,547.4,302,stable
Grundy County, Illinois,559.8,302,stable
Columbia County, Oregon,442.3,301,falling
Knox County, Maine,474.4,301,falling
Gibson County, Tennessee,473.8,301,stable
Gila County, Arizona,329.2,301,falling
Ward County, North Dakota,455.4,301,stable
Hancock County, Mississippi,484.9,300,stable
Grant County, Wisconsin,480.9,300,stable
Christian County, Kentucky,460,300,falling
Gordon County, Georgia,474.4,300,stable
Franklin County, New York,479.3,299,falling
Talbot County, Maryland,462.1,299,stable
Catoosa County, Georgia,365.3,299,stable
Grand Forks County, North Dakota,457.9,299,stable
Bonner County, Idaho,447.2,298,falling
Davie County, North Carolina,501.6,297,stable
Washington County, Oklahoma,425.1,297,falling
Barron County, Wisconsin,449.1,296,stable
Barren County, Kentucky,539,295,rising
Coryell County, Texas,478.6,294,stable
Hardin County, Texas,435.1,294,falling
Shelby County, Indiana,524.6,293,stable
Logan County, Ohio,503.1,293,stable
Tioga County, Pennsylvania,488.4,293,stable
Payne County, Oklahoma,407.5,292,falling
Henderson County, Kentucky,501,292,stable
Jefferson County, Pennsylvania,463.7,292,falling
Washington Parish, Louisiana,491.7,292,stable
Fremont County, Colorado,423.7,291,stable
Rusk County, Texas,450.7,291,stable
Newton County, Missouri,391.3,291,stable
Susquehanna County, Pennsylvania,465,290,stable
Cortland County, New York,516,290,stable
Jessamine County, Kentucky,509.2,288,stable
Warren County, Pennsylvania,482.6,288,stable
Floyd County, Kentucky,609.8,288,stable
Sullivan County, New Hampshire,466.7,288,stable
Barry County, Michigan,366 #  ,287,stable
Cherokee County, Texas,455.6,287,stable
Campbell County, Tennessee,506.9,287,stable
Hopkins County, Kentucky,477.4,287,stable
Anderson County, Texas,433.6,286,stable
Lawrence County, Indiana,455.1,286,stable
Perry County, Pennsylvania,476.5,286,stable
Amador County, California,437.7,282,falling
Athens County, Ohio,456.4,282,stable
Marion County, Illinois,545.1,282,stable
Orleans County, New York,529.2,282,stable
Burnet County, Texas,425.7,281,stable
Starr County, Texas,504.3,281,rising
Russell County, Alabama,443.6,281,stable
Carter County, Oklahoma,474.3,280,stable
Macon County, North Carolina,471.4,280,stable
Ohio County, West Virginia,453.4,280,falling
Des Moines County, Iowa,501.9,280,stable
Newaygo County, Michigan,434.4 #  ,280,stable
Stephenson County, Illinois,414.2,279,stable
Lincoln County, Missouri,477.9,279,stable
Tallapoosa County, Alabama,479.6,279,rising
Ravalli County, Montana,413,277,falling
Stephens County, Oklahoma,465.8,277,stable
Washington County, Virginia,349,277,falling
Boone County, Illinois,456.8,276,stable
Habersham County, Georgia,503.3,276,stable
Wayne County, West Virginia,490.6,276,stable
Brown County, Ohio,481.2,275,stable
Kay County, Oklahoma,471.3,275,stable
Wyoming County, New York,531.8,274,stable
Dale County, Alabama,458.8,274,stable
Shelby County, Kentucky,516.2,274,stable
Effingham County, Georgia,483.5,273,stable
Washington County, Mississippi,496.3,273,stable
Webster Parish, Louisiana,506.7,273,falling
Nelson County, Kentucky,524,273,stable
Huntingdon County, Pennsylvania,434.2,273,stable
Okanogan County, Washington,453.2,271,stable
Union County, Ohio,487,271,stable
Cass County, Michigan,371.7 #  ,271,stable
Essex County, New York,461.5,271,falling
Waldo County, Maine,472.9,271,falling
Windham County, Vermont,431.5,271,falling
Chesterfield County, South Carolina,452.2,270,stable
Franklin County, Tennessee,478.8,269,stable
Laurens County, Georgia,460.7,269,stable
McKean County, Pennsylvania,476.1,268,stable
Coles County, Illinois,444.2,268,falling
Broomfield County, Colorado,396.5,267,falling
Douglas County, Wisconsin,475.3,267,rising
Thomas County, Georgia,473.4,267,falling
Chaves County, New Mexico,359.5,267,falling
Gloucester County, Virginia,523,267,stable
Highland County, Ohio,488.2,267,rising
Preble County, Ohio,489.3,267,stable
Shenandoah County, Virginia,426,266,stable
Vance County, North Carolina,474.8,266,stable
Crawford County, Ohio,451.3,266,stable
Jackson County, Illinois,433.7,266,falling
Siskiyou County, California,378.4,266,falling
Danville City, Virginia,452.9,265,stable
Greenup County, Kentucky,527.5,265,stable
Coffee County, Alabama,423.2,265,stable
Franklin County, Vermont,454.3,265,stable
Jefferson County, Illinois,521.8,264,stable
Auglaize County, Ohio,447,264,stable
Lamar County, Mississippi,427,264,stable
Bulloch County, Georgia,403.2,262,stable
Muscatine County, Iowa,510.3,262,stable
Logan County, West Virginia,556,262,stable
Okeechobee County, Florida,484.7,262,stable
Greenbrier County, West Virginia,500.5,262,stable
Lawrence County, Tennessee,477.2,262,stable
Transylvania County, North Carolina,433.5,261,stable
Sanilac County, Michigan,441.3 #  ,261,stable
Warren County, Iowa,458.6,261,stable
St. Charles Parish, Louisiana,462.1,261,stable
Butler County, Missouri,456.6,260,stable
Shawano County, Wisconsin,436.9,259,stable
Grady County, Oklahoma,398.2,259,stable
Delaware County, Oklahoma,395.1,259,falling
Richmond County, North Carolina,451.7,259,falling
Bennington County, Vermont,477.5,259,falling
Pickens County, Georgia,584.3,259,rising
Gadsden County, Florida,447.3,258,falling
Clatsop County, Oregon,466.9,258,stable
Guernsey County, Ohio,492,258,stable
Lincoln County, Maine,447.1,256,stable
Christian County, Illinois,551.7,256,stable
Dallas County, Alabama,507.7,256,stable
Washington County, Maine,508.6,256,falling
Navarro County, Texas,428.8,255,stable
Culpeper County, Virginia,446.2,255,falling
Boone County, Arkansas,488.7,255,stable
Delta County, Michigan,445.4 #  ,255,stable
Marshall County, Iowa,488.5,254,stable
Scott County, Kentucky,498,254,stable
Morgan County, Illinois,548,253,stable
Person County, North Carolina,478.1,253,stable
Le Flore County, Oklahoma,402.3,253,stable
Monroe County, Wisconsin,455.4,253,stable
Polk County, Wisconsin,407.7,252,stable
Nacogdoches County, Texas,372.5,252,falling
Pittsburg County, Oklahoma,417.2,252,falling
Franklin County, Washington,363.1,251,falling
Dodge County, Nebraska,525.7,251,stable
Jackson County, Indiana,479,250,stable
Covington County, Alabama,482.2,250,stable
Livingston County, Illinois,517,250,stable
Watauga County, North Carolina,437.5,250,falling
Hillsdale County, Michigan,410.5 #  ,250,stable
Nez Perce County, Idaho,456.1,250,falling
Warren County, Mississippi,439.9,249,stable
Oconto County, Wisconsin,471.5,249,stable
Polk County, Georgia,510.7,248,falling
Union County, Arkansas,479.1,247,stable
Baldwin County, Georgia,478.6,247,stable
Greene County, Arkansas,473.3,246,rising
Scott County, Missouri,501.6,246,stable
Okmulgee County, Oklahoma,489.8,246,stable
Clark County, Kentucky,545.3,245,falling
Dare County, North Carolina,480.3,245,stable
Eddy County, New Mexico,383.3,245,falling
Halifax County with South Boston City, Virginia,450.6,245,stable
Pettis County, Missouri,478.5,245,stable
Upshur County, Texas,463.7,245,stable
Colleton County, South Carolina,471.5,245,falling
Stevens County, Washington,374.1,245,falling
Shelby County, Ohio,414,244,stable
Bedford County, Tennessee,455.1,243,stable
Fulton County, Ohio,459.8,243,stable
Knox County, Indiana,516,243,stable
Clarion County, Pennsylvania,465.1,242,stable
Monroe County, Mississippi,508.4,242,stable
Bureau County, Illinois,501.3,242,stable
Bryan County, Oklahoma,433.3,242,falling
Mayes County, Oklahoma,461.8,242,stable
Accomack County, Virginia,482.9,241,stable
Cherokee County, Oklahoma,438.1,241,stable
Chambers County, Alabama,521.1,241,stable
Cocke County, Tennessee,479.6,241,stable
Lee County, Iowa,499.9,241,stable
Clinton County, Ohio,468.4,240,stable
Garfield County, Colorado,408.1,240,falling
Union County, Pennsylvania,432.3,240,falling
Isabella County, Michigan,379.2 #  ,240,falling
Calumet County, Wisconsin,422.1,239,stable
Champaign County, Ohio,479.8,239,stable
Roscommon County, Michigan,525.2 #  ,239,stable
Henry County, Tennessee,481.7,238,stable
Mercer County, Ohio,459.4,238,stable
Coos County, New Hampshire,474.4,238,falling
Pike County, Mississippi,490,238,stable
Alexander County, North Carolina,469.2,238,stable
Fulton County, Illinois,478.9,238,stable
Fayette County, Tennessee,414.3,237,falling
Callaway County, Missouri,447.5,237,stable
Greene County, Pennsylvania,486.6,237,stable
Sequoyah County, Oklahoma,441.4,236,stable
San Benito County, California,393.3,236,stable
Seneca County, New York,512,236,stable
Cherokee County, North Carolina,482.9,236,stable
Warren County, Tennessee,462.8,236,stable
Elk County, Pennsylvania,512.2,235,stable
Graves County, Kentucky,490.7,235,stable
Marshall County, Indiana,404.7,235,stable
Pasquotank County, North Carolina,490.1,235,stable
Camden County, Georgia,464.7,235,stable
Mecklenburg County, Virginia,464.8,234,stable
Dubois County, Indiana,445.8,234,rising
Tift County, Georgia,522.6,234,stable
Noble County, Indiana,430.6,234,stable
Madison County, Ohio,456.5,233,stable
Vernon Parish, Louisiana,510.7,233,stable
Lea County, New Mexico,367.1,233,falling
Wapello County, Iowa,506.2,233,stable
Osage County, Oklahoma,362.5,233,falling
Claiborne County, Tennessee,542.8,233,rising
Montrose County, Colorado,388.7,232,falling
Woodford County, Illinois,474.2,232,stable
Coshocton County, Ohio,474.2,232,stable
Marshall County, Kentucky,508.7,232,stable
Vilas County, Wisconsin,554.3,232,stable
Door County, Wisconsin,472.3,231,falling
Clinton County, Pennsylvania,471.1,231,stable
DeKalb County, Indiana,452.4,231,stable
Mississippi County, Arkansas,477.2,231,stable
Huron County, Michigan,446.6 #  ,230,falling
Harrison County, Indiana,467.5,230,stable
Lee County, Illinois,481.5,230,stable
Putnam County, Indiana,507.5,230,stable
Gilmer County, Georgia,504,229,rising
Yadkin County, North Carolina,441.5,229,stable
Cheatham County, Tennessee,497.8,229,stable
Stone County, Missouri,385.1,229,falling
Webster County, Iowa,470.6,228,falling
Colquitt County, Georgia,450,228,falling
La Plata County, Colorado,343.5,228,falling
Independence County, Arkansas,484.9,228,stable
Johnson County, Missouri,449.4,228,stable
Mecosta County, Michigan,425.5 #  ,228,stable
Logan County, Oklahoma,431.9,227,stable
Phelps County, Missouri,439.3,227,falling
Buffalo County, Nebraska,449.3,226,stable
Douglas County, Washington,453.6,226,stable
Jasper County, Texas,481.9,226,stable
Louisa County, Virginia,466.8,226,stable
Snyder County, Pennsylvania,429.7,225,stable
Crittenden County, Arkansas,428.8,225,stable
Emmet County, Michigan,468.1 #  ,225,falling
Petersburg City, Virginia,556.8,225,stable
Medina County, Texas,380.2,224,stable
Union County, Georgia,524.7,224,stable
Lincoln County, Nebraska,477.3,224,stable
Tooele County, Utah,440.2,224,stable
Dorchester County, Maryland,484.1,223,stable
Jasper County, Iowa,453.8,223,stable
St. John the Baptist Parish, Louisiana,467.6,223,falling
Clare County, Michigan,477.4 #  ,223,stable
Lincoln County, South Dakota,440.8,223,stable
Avoyelles Parish, Louisiana,443.7,223,stable
Knox County, Kentucky,574.5,223,stable
Whitley County, Kentucky,523.5,223,stable
Pontotoc County, Oklahoma,490.6,223,stable
Scotland County, North Carolina,499.9,222,stable
Defiance County, Ohio,452.8,221,stable
Morrow County, Ohio,497.4,221,stable
Chester County, South Carolina,504.5,221,stable
Chilton County, Alabama,415.4,220,stable
Clarendon County, South Carolina,437.8,220,falling
Clinton County, Illinois,466.7,219,stable
Brown County, Texas,430.2,219,falling
Orange County, Virginia,441,218,rising
Rhea County, Tennessee,511.7,218,stable
Wexford County, Michigan,499.1 #  ,218,stable
Cooke County, Texas,429.7,217,stable
Fannin County, Texas,477.8,217,stable
Lawrence County, Missouri,441.9,216,stable
Gratiot County, Michigan,427.7 #  ,216,stable
Marshall County, Mississippi,473.6,215,rising
McClain County, Oklahoma,492,215,stable
Newberry County, South Carolina,425.9,215,stable
Jackson County, North Carolina,402,215,falling
Hill County, Texas,434.1,215,stable
Brown County, South Dakota,454.2,215,stable
Apache County, Arizona,278.5,214,stable
Jefferson County, Indiana,526.3,214,stable
Miller County, Arkansas,407.4,214,stable
Wharton County, Texas,427.1,214,falling
Branch County, Michigan,387 #  ,214,stable
Dyer County, Tennessee,458.7,214,stable
Pulaski County, Virginia,413,214,falling
Hancock County, West Virginia,475.1,213,falling
Union County, Florida,1143.5,213,stable
Jackson County, Florida,327.2,213,stable
McKinley County, New Mexico,309.5,213,stable
Natchitoches Parish, Louisiana,481.5,213,stable
Alcorn County, Mississippi,448.6,212,stable
Escambia County, Alabama,444.8,212,falling
Wilson County, Texas,377.3,212,falling
Schoharie County, New York,464.3,212,stable
Logan County, Illinois,556.4,212,stable
Sagadahoc County, Maine,407,212,falling
Iberville Parish, Louisiana,539.8,212,stable
Randolph County, Illinois,485,211,stable
Howell County, Missouri,393.5,211,stable
Calloway County, Kentucky,468,211,stable
Alpena County, Michigan,468.7 #  ,210,falling
Cleburne County, Arkansas,496,210,rising
Effingham County, Illinois,490.7,210,stable
Obion County, Tennessee,491.3,210,stable
Williamsburg County, South Carolina,476.7,210,stable
Liberty County, Georgia,445.8,209,stable
Isle of Wight County, Virginia,426.3,209,falling
Botetourt County, Virginia,427.2,209,stable
Silver Bow County, Montana,452.5,209,stable
Fannin County, Georgia,484.6,208,stable
Green County, Wisconsin,429.8,208,falling
Kendall County, Texas,387.2,208,falling
Lawrence County, Alabama,474,208,stable
Muhlenberg County, Kentucky,497.2,208,stable
Hopkins County, Texas,465.9,208,stable
Scotts Bluff County, Nebraska,432.7,207,stable
Perry County, Ohio,479.3,207,stable
Jackson County, Ohio,514.6,207,stable
Cass County, Indiana,424,206,falling
Coffee County, Georgia,457.2,206,stable
Lafayette County, Missouri,472.6,206,rising
Laclede County, Missouri,453.9,205,stable
Marion County, Iowa,496.4,205,rising
Hoke County, North Carolina,464,205,stable
Montgomery County, Indiana,416.5,204,falling
Marshall County, West Virginia,433.4,204,stable
Perry County, Kentucky,603.1,204,stable
Carroll County, Tennessee,527.5,204,rising
Bladen County, North Carolina,418.7,203,stable
Harris County, Georgia,468.7,203,stable
St. Bernard Parish, Louisiana,480.3,203,stable
Cheboygan County, Michigan,476.1 #  ,203,stable
Lafayette County, Mississippi,417.3,203,stable
Marion County, Alabama,471.2,203,rising
Iroquois County, Illinois,490.1,203,stable
Ware County, Georgia,457.9,203,stable
Hot Spring County, Arkansas,455.7,202,stable
Huntington County, Indiana,445.3,202,stable
Williams County, Ohio,409.3,202,falling
Preston County, West Virginia,436.3,202,stable
Addison County, Vermont,412.3,202,falling
Carter County, Kentucky,583.4,202,rising
Wabash County, Indiana,460.5,202,stable
Beauregard Parish, Louisiana,473.7,202,stable
Warren County, Virginia,427.9,201,stable
Dunn County, Wisconsin,405.8,201,stable
Union County, South Carolina,511.6,201,stable
DeSoto County, Florida,401,201,stable
Montgomery County, Illinois,496.5,200,stable
White County, Georgia,476,200,stable
Murray County, Georgia,450.8,200,rising
Marion County, South Carolina,472.3,199,stable
Box Elder County, Utah,390.8,199,stable
Clark County, Wisconsin,476.5,199,stable
Lincoln County, Wisconsin,462.4,199,stable
McCurtain County, Oklahoma,475.6,198,stable
Marshall County, Tennessee,509.4,198,stable
Lumpkin County, Georgia,530.1,197,stable
Val Verde County, Texas,396,197,stable
Gallia County, Ohio,490.1,197,stable
Stoddard County, Missouri,485.7,197,stable
Jackson County, West Virginia,477.3,197,stable
Iosco County, Michigan,427.8 #  ,196,falling
Barry County, Missouri,386.1,196,stable
Iron County, Utah,445.4,196,stable
Fremont County, Wyoming,384.7,196,falling
Greene County, Indiana,440.1,196,stable
Prince George County, Virginia,476.9,196,stable
Bingham County, Idaho,416.3,196,stable
Franklin County, Maine,457.4,196,stable
Cass County, Texas,452.9,196,stable
Harlan County, Kentucky,547.4,195,stable
Marion County, Missouri,545.6,195,stable
Matagorda County, Texas,431.6,195,falling
Boyle County, Kentucky,510.2,195,stable
Bolivar County, Mississippi,523.6,195,stable
Marion County, Tennessee,494.2,194,stable
Adams County, Mississippi,453.7,194,stable
Amherst County, Virginia,425.7,194,falling
Caroline County, Maryland,486.6,194,stable
Panola County, Mississippi,487.5,194,stable
Lincoln County, Mississippi,455.2,193,stable
Maverick County, Texas,373.5,193,rising
Gladwin County, Michigan,448.7 #  ,193,stable
Taylor County, Kentucky,608.8,193,rising
Adams County, Nebraska,497.3,192,stable
Wyoming County, Pennsylvania,497.5,192,falling
Atascosa County, Texas,360,192,falling
Madison County, Nebraska,463.6,192,stable
Oconee County, Georgia,469.3,191,stable
Ottawa County, Oklahoma,478.9,191,stable
Gibson County, Indiana,445.7,190,stable
Webster County, Missouri,439.3,190,stable
Washington County, Texas,385.7,189,falling
Evangeline Parish, Louisiana,492.6,189,stable
Chippewa County, Michigan,399 #  ,189,stable
Monroe County, Illinois,432.2,189,stable
Jasper County, Indiana,463,189,stable
Juneau County, Wisconsin,497.3,188,stable
Steuben County, Indiana,407.4,188,falling
Pike County, Ohio,524.5,187,rising
Ashe County, North Carolina,445.6,187,stable
Putnam County, Ohio,440,187,stable
Mason County, West Virginia,487.5,187,stable
Tazewell County, Virginia,307.1,187,falling
Madison County, Georgia,517.7,186,stable
Platte County, Nebraska,465.7,186,stable
Randolph County, West Virginia,452.4,186,stable
Park County, Wyoming,438.8,186,stable
Miami County, Indiana,409.4,186,falling
Weakley County, Tennessee,443.2,186,stable
Warren County, Missouri,436.1,185,stable
Logan County, Kentucky,528.3,185,stable
Upson County, Georgia,528.9,185,stable
White County, Tennessee,511.1,185,stable
Orleans County, Vermont,468.3,185,stable
Lincoln County, Tennessee,401.6,184,stable
